epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,3074.81,0.25875,0.02377,0.01557,0.21658,0.82709,0.92149,0.95556,0.97812,0.84689,0.92149,0.95556,0.97812,0.97662,0.62679,0.1073,0.04153,0.65362,0.83583,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,3139.1,0.25849,0.02729,0.01492,0.21222,0.82763,0.91674,0.94,0.98155,0.8652,0.91674,0.94,0.98155,0.97538,0.5922,0.08746,0.0187,0.63693,0.83747,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,3203.5,0.25554,0.02404,0.01334,0.20938,0.82519,0.90283,0.97556,0.98763,0.87281,0.90283,0.97556,0.98763,0.98687,0.59698,0.08139,0.02853,0.54704,0.83343,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,3267.43,0.24687,0.02266,0.01428,0.20614,0.82403,0.96885,0.89838,0.98524,0.8664,0.96885,0.89838,0.98524,0.98488,0.57557,0.10229,0.02756,0.60541,0.82963,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,3329.83,0.24882,0.02558,0.01374,0.2106,0.8222,0.9761,0.94667,0.99082,0.8843,0.97552,0.94667,0.99075,0.99023,0.6069,0.09725,0.02804,0.52231,0.82465,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,3393.23,0.24763,0.02415,0.01344,0.20643,0.82239,0.96211,0.94889,0.98503,0.8678,0.96211,0.94889,0.98503,0.98462,0.59569,0.08985,0.02628,0.56402,0.82991,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,3457.31,0.24498,0.02215,0.0133,0.20469,0.82705,0.9677,0.93195,0.98704,0.88369,0.9677,0.93195,0.98704,0.98677,0.54633,0.08214,0.02037,0.50831,0.82408,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,3521.15,0.23925,0.02133,0.01226,0.20045,0.82256,0.97899,0.93333,0.98801,0.87574,0.97899,0.93333,0.98801,0.98793,0.59661,0.0725,0.02202,0.47881,0.83276,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,3585.11,0.23643,0.02168,0.01111,0.19845,0.81956,0.8993,0.96889,0.98478,0.87818,0.8993,0.96889,0.98447,0.98316,0.55439,0.11796,0.02293,0.53099,0.8247,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,3649.25,0.23768,0.02065,0.01169,0.20173,0.82263,0.9466,0.94542,0.98692,0.88584,0.9731,0.91778,0.98717,0.98626,0.52133,0.095,0.02339,0.50822,0.82153,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,3712.76,0.23331,0.01953,0.01267,0.19536,0.82592,0.90456,0.91556,0.96559,0.84883,0.90456,0.91556,0.96626,0.95302,0.56425,0.17672,0.03445,0.80824,0.85091,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,3776.2,0.23346,0.02063,0.01059,0.19511,0.82065,0.92366,0.94107,0.98481,0.87464,0.92366,0.94107,0.98581,0.9838,0.56418,0.09495,0.02109,0.48367,0.83821,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,3840.18,0.22594,0.01918,0.01295,0.19,0.81955,0.92212,0.92086,0.98183,0.86566,0.92212,0.92086,0.98196,0.98036,0.57364,0.11629,0.02032,0.58108,0.83962,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,3903.57,0.2242,0.02035,0.01418,0.18973,0.82468,0.99046,0.92246,0.98862,0.87529,0.99046,0.92246,0.98862,0.98855,0.5697,0.10996,0.01739,0.50294,0.82957,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,3968.09,0.21806,0.02183,0.0123,0.18402,0.82207,0.89548,0.96667,0.9825,0.88614,0.89548,0.96667,0.9825,0.98136,0.5204,0.10901,0.02372,0.54839,0.83026,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
